ticker,fiscal_quarter,period_end,revpar_yoy_pct,source_url
MAR,Q1 2019,2019-03-31,1.1,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2019-results
MAR,Q2 2019,2019-06-30,1.2,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2019-results
MAR,Q3 2019,2019-09-30,1.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-third-quarter-2019-results
MAR,Q4 2019,2019-12-31,1.1,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-2019-results
MAR,Q1 2020,2020-03-31,-22.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2020-results
MAR,Q2 2020,2020-06-30,-84.4,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2020-results
MAR,Q3 2020,2020-09-30,-65.9,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-third-quarter-2020-results
MAR,Q4 2020,2020-12-31,-64.1,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-2020-results
MAR,Q1 2021,2021-03-31,-46.3,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2021-results
MAR,Q2 2021,2021-06-30,262.6,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2021-results
MAR,Q3 2021,2021-09-30,118.4,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-third-quarter-2021-results
MAR,Q4 2021,2021-12-31,124.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-2021-results
MAR,Q1 2022,2022-03-31,96.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2022-results-and
MAR,Q2 2022,2022-06-30,70.6,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-outstanding-second-quarter-2022
MAR,Q3 2022,2022-09-30,36.3,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-outstanding-third-quarter-2022
MAR,Q4 2022,2022-12-31,28.8,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-and-full-year-2022
MAR,Q1 2023,2023-03-31,34.3,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2023-results-and
MAR,Q2 2023,2023-06-30,13.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2023-results-and
MAR,Q3 2023,2023-09-30,8.8,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-third-quarter-2023-results
MAR,Q4 2023,2023-12-31,7.2,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-strong-fourth-quarter-and-full
MAR,Q1 2024,2024-03-31,4.2,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-first-quarter-2024-results
MAR,Q2 2024,2024-06-30,4.9,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2024-results
MAR,Q3 2024,2024-09-30,3.0,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-third-quarter-2024-results
MAR,Q4 2024,2024-12-31,5.0,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-and-full-year-2024
MAR,Q1 2025,2025-03-31,4.1,https://marriott.gcs-web.com/node/36081/pdf
MAR,Q2 2025,2025-06-30,1.5,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-second-quarter-2025-results
MAR,Q3 2025,2025-09-30,0.5,https://marriott.gcs-web.com/node/36496/pdf
MAR,Q4 2025,2025-12-31,1.9,https://marriott.gcs-web.com/node/36796/pdf
MAR,Q1 2026,2026-03-31,4.2,https://marriott.gcs-web.com/node/37231/pdf
